"region","context","group","sample_id","bin_mid","count"
"dispersed_repeat","CpG","Control","9",2.5,9067
"dispersed_repeat","CpG","Control","9",7.5,375
"dispersed_repeat","CpG","Control","9",12.5,125
"dispersed_repeat","CpG","Control","9",17.5,149
"dispersed_repeat","CpG","Control","9",22.5,77
"dispersed_repeat","CpG","Control","9",27.5,86
"dispersed_repeat","CpG","Control","9",32.5,50
"dispersed_repeat","CpG","Control","9",37.5,85
"dispersed_repeat","CpG","Control","9",42.5,41
"dispersed_repeat","CpG","Control","9",47.5,72
"dispersed_repeat","CpG","Control","9",52.5,54
"dispersed_repeat","CpG","Control","9",57.5,42
"dispersed_repeat","CpG","Control","9",62.5,36
"dispersed_repeat","CpG","Control","9",67.5,32
"dispersed_repeat","CpG","Control","9",72.5,30
"dispersed_repeat","CpG","Control","9",77.5,53
"dispersed_repeat","CpG","Control","9",82.5,38
"dispersed_repeat","CpG","Control","9",87.5,64
"dispersed_repeat","CpG","Control","9",92.5,50
"dispersed_repeat","CpG","Control","9",97.5,211
"dispersed_repeat","CpG","Control","13",2.5,9394
"dispersed_repeat","CpG","Control","13",7.5,456
"dispersed_repeat","CpG","Control","13",12.5,106
"dispersed_repeat","CpG","Control","13",17.5,162
"dispersed_repeat","CpG","Control","13",22.5,92
"dispersed_repeat","CpG","Control","13",27.5,92
"dispersed_repeat","CpG","Control","13",32.5,64
"dispersed_repeat","CpG","Control","13",37.5,74
"dispersed_repeat","CpG","Control","13",42.5,43
"dispersed_repeat","CpG","Control","13",47.5,71
"dispersed_repeat","CpG","Control","13",52.5,40
"dispersed_repeat","CpG","Control","13",57.5,53
"dispersed_repeat","CpG","Control","13",62.5,29
"dispersed_repeat","CpG","Control","13",67.5,50
"dispersed_repeat","CpG","Control","13",72.5,31
"dispersed_repeat","CpG","Control","13",77.5,56
"dispersed_repeat","CpG","Control","13",82.5,45
"dispersed_repeat","CpG","Control","13",87.5,69
"dispersed_repeat","CpG","Control","13",92.5,53
"dispersed_repeat","CpG","Control","13",97.5,179
"dispersed_repeat","CpG","Control","15",2.5,0
"dispersed_repeat","CpG","Control","15",7.5,0
"dispersed_repeat","CpG","Control","15",12.5,0
"dispersed_repeat","CpG","Control","15",17.5,0
"dispersed_repeat","CpG","Control","15",22.5,0
"dispersed_repeat","CpG","Control","15",27.5,0
"dispersed_repeat","CpG","Control","15",32.5,0
"dispersed_repeat","CpG","Control","15",37.5,0
"dispersed_repeat","CpG","Control","15",42.5,0
"dispersed_repeat","CpG","Control","15",47.5,0
"dispersed_repeat","CpG","Control","15",52.5,0
"dispersed_repeat","CpG","Control","15",57.5,0
"dispersed_repeat","CpG","Control","15",62.5,0
"dispersed_repeat","CpG","Control","15",67.5,0
"dispersed_repeat","CpG","Control","15",72.5,0
"dispersed_repeat","CpG","Control","15",77.5,0
"dispersed_repeat","CpG","Control","15",82.5,0
"dispersed_repeat","CpG","Control","15",87.5,0
"dispersed_repeat","CpG","Control","15",92.5,0
"dispersed_repeat","CpG","Control","15",97.5,0
"dispersed_repeat","CpG","Control","16",2.5,6217
"dispersed_repeat","CpG","Control","16",7.5,307
"dispersed_repeat","CpG","Control","16",12.5,81
"dispersed_repeat","CpG","Control","16",17.5,126
"dispersed_repeat","CpG","Control","16",22.5,67
"dispersed_repeat","CpG","Control","16",27.5,58
"dispersed_repeat","CpG","Control","16",32.5,49
"dispersed_repeat","CpG","Control","16",37.5,58
"dispersed_repeat","CpG","Control","16",42.5,34
"dispersed_repeat","CpG","Control","16",47.5,47
"dispersed_repeat","CpG","Control","16",52.5,23
"dispersed_repeat","CpG","Control","16",57.5,30
"dispersed_repeat","CpG","Control","16",62.5,25
"dispersed_repeat","CpG","Control","16",67.5,35
"dispersed_repeat","CpG","Control","16",72.5,16
"dispersed_repeat","CpG","Control","16",77.5,41
"dispersed_repeat","CpG","Control","16",82.5,30
"dispersed_repeat","CpG","Control","16",87.5,27
"dispersed_repeat","CpG","Control","16",92.5,19
"dispersed_repeat","CpG","Control","16",97.5,117
"dispersed_repeat","CpG","Control","22",2.5,0
"dispersed_repeat","CpG","Control","22",7.5,0
"dispersed_repeat","CpG","Control","22",12.5,0
"dispersed_repeat","CpG","Control","22",17.5,0
"dispersed_repeat","CpG","Control","22",22.5,0
"dispersed_repeat","CpG","Control","22",27.5,0
"dispersed_repeat","CpG","Control","22",32.5,0
"dispersed_repeat","CpG","Control","22",37.5,0
"dispersed_repeat","CpG","Control","22",42.5,0
"dispersed_repeat","CpG","Control","22",47.5,0
"dispersed_repeat","CpG","Control","22",52.5,0
"dispersed_repeat","CpG","Control","22",57.5,0
"dispersed_repeat","CpG","Control","22",62.5,0
"dispersed_repeat","CpG","Control","22",67.5,0
"dispersed_repeat","CpG","Control","22",72.5,0
"dispersed_repeat","CpG","Control","22",77.5,0
"dispersed_repeat","CpG","Control","22",82.5,0
"dispersed_repeat","CpG","Control","22",87.5,0
"dispersed_repeat","CpG","Control","22",92.5,0
"dispersed_repeat","CpG","Control","22",97.5,0
"dispersed_repeat","CpG","Control","27",2.5,0
"dispersed_repeat","CpG","Control","27",7.5,0
"dispersed_repeat","CpG","Control","27",12.5,0
"dispersed_repeat","CpG","Control","27",17.5,0
"dispersed_repeat","CpG","Control","27",22.5,0
"dispersed_repeat","CpG","Control","27",27.5,0
"dispersed_repeat","CpG","Control","27",32.5,0
"dispersed_repeat","CpG","Control","27",37.5,0
"dispersed_repeat","CpG","Control","27",42.5,0
"dispersed_repeat","CpG","Control","27",47.5,0
"dispersed_repeat","CpG","Control","27",52.5,0
"dispersed_repeat","CpG","Control","27",57.5,0
"dispersed_repeat","CpG","Control","27",62.5,0
"dispersed_repeat","CpG","Control","27",67.5,0
"dispersed_repeat","CpG","Control","27",72.5,0
"dispersed_repeat","CpG","Control","27",77.5,0
"dispersed_repeat","CpG","Control","27",82.5,0
"dispersed_repeat","CpG","Control","27",87.5,0
"dispersed_repeat","CpG","Control","27",92.5,0
"dispersed_repeat","CpG","Control","27",97.5,0
"dispersed_repeat","CpG","Treatment","9",2.5,0
"dispersed_repeat","CpG","Treatment","9",7.5,0
"dispersed_repeat","CpG","Treatment","9",12.5,0
"dispersed_repeat","CpG","Treatment","9",17.5,0
"dispersed_repeat","CpG","Treatment","9",22.5,0
"dispersed_repeat","CpG","Treatment","9",27.5,0
"dispersed_repeat","CpG","Treatment","9",32.5,0
"dispersed_repeat","CpG","Treatment","9",37.5,0
"dispersed_repeat","CpG","Treatment","9",42.5,0
"dispersed_repeat","CpG","Treatment","9",47.5,0
"dispersed_repeat","CpG","Treatment","9",52.5,0
"dispersed_repeat","CpG","Treatment","9",57.5,0
"dispersed_repeat","CpG","Treatment","9",62.5,0
"dispersed_repeat","CpG","Treatment","9",67.5,0
"dispersed_repeat","CpG","Treatment","9",72.5,0
"dispersed_repeat","CpG","Treatment","9",77.5,0
"dispersed_repeat","CpG","Treatment","9",82.5,0
"dispersed_repeat","CpG","Treatment","9",87.5,0
"dispersed_repeat","CpG","Treatment","9",92.5,0
"dispersed_repeat","CpG","Treatment","9",97.5,0
"dispersed_repeat","CpG","Treatment","13",2.5,0
"dispersed_repeat","CpG","Treatment","13",7.5,0
"dispersed_repeat","CpG","Treatment","13",12.5,0
"dispersed_repeat","CpG","Treatment","13",17.5,0
"dispersed_repeat","CpG","Treatment","13",22.5,0
"dispersed_repeat","CpG","Treatment","13",27.5,0
"dispersed_repeat","CpG","Treatment","13",32.5,0
"dispersed_repeat","CpG","Treatment","13",37.5,0
"dispersed_repeat","CpG","Treatment","13",42.5,0
"dispersed_repeat","CpG","Treatment","13",47.5,0
"dispersed_repeat","CpG","Treatment","13",52.5,0
